Ticker:,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
BNED,2015-07-23,2020-07-10,23323.318,43817.565
BNFT,2013-09-18,2020-07-10,72739.777,87032.563
BOCH,2005-07-15,2020-07-10,1330.373,194.292
BOH,2005-07-15,2020-07-10,121904.014,55658.183
BOKF,2005-07-15,2020-07-10,64612.986,11781.344
BOMN,2017-06-16,2020-07-10,11275.891,10803.112
BOOM,2005-07-15,2020-07-10,60857.534,288116.624
BOOT,2014-10-30,2020-07-10,112013.627,67075.549
BOTJ,2012-01-25,2020-07-10,360.948,84.64
BOX,2015-01-23,2020-07-10,339082.922,232732.531
BPFH,2005-07-15,2020-07-10,45343.3,37325.78
BPMC,2015-04-30,2020-07-10,193805.571,58116.077
BPOP,2005-07-15,2020-07-10,205069.831,74953.529
BPRN,2016-07-12,2020-07-10,2259.484,60.459
BPTH,2014-03-10,2020-07-10,29543.106,6421.173
BR,2007-03-22,2020-07-10,302199.567,195081.825
BRC,2005-07-15,2020-07-10,64266.422,39403.086
BREW,2012-03-22,2020-07-10,12935.134,1940.72
BRG,2014-03-28,2020-07-10,13267.301,2750.361
BRID,2005-07-18,2020-07-10,433.913,185.186
BRKL,2005-07-15,2020-07-10,28599.028,18700.379
BRKR,2005-07-15,2020-07-10,122833.294,4816.703
BRKS,2005-07-15,2020-07-10,70976.715,72243.806
BRN,2005-07-15,2020-07-10,1046.002,2862.977
BRO,2005-07-15,2020-07-10,202965.039,125882.413
BRT,2005-07-15,2020-07-10,2080.178,604.797
BRX,2013-10-30,2020-07-10,364618.289,128042.055
BRY,2018-07-16,2020-07-10,57484.444,70641.675
BSET,2005-07-15,2020-07-10,4941.417,2092.516
BSGM,2014-10-31,2020-07-10,6409.552,330.031
BSQR,2005-07-15,2020-07-10,2749.174,1817.269
BSRR,2005-07-15,2020-07-10,3599.722,1374.331
BSTC,2009-01-09,2020-07-10,10709.888,3292.658
BSX,2005-07-15,2020-07-10,1713184.893,1518541.734
BTN,2005-07-15,2020-07-10,2415.51,1124.81
BTU,2017-04-03,2020-07-10,236292.093,282675.655
BURL,2013-10-02,2020-07-10,849692.745,134444.052
BUSE,2005-07-18,2020-07-10,12097.303,2608.073
BV,2018-06-28,2020-07-10,52255.427,86746.109
BW,2015-06-16,2020-07-10,45394.532,61591.398
BWA,2005-07-15,2020-07-10,636733.794,195403.644
BWB,2018-03-14,2020-07-10,8782.28,9927.223
BWEN,2009-04-09,2020-07-10,9191.268,21311.842
BWFG,2013-09-12,2020-07-10,2426.629,564.088
BWXT,2010-07-12,2020-07-10,209318.113,171729.727
BXC,2005-07-15,2020-07-10,11835.985,21112.632
BXMT,2005-07-15,2020-07-10,84096.286,1749.917
